"pid"	"firstname"	"middlename"	"lastname"	"degrees"	"location"	"locid"	"area"	"majorarea"	"award"	"orcid_id"	"homepage"	"addedby"	"dateadded"
"116"	"Edgar"	"Douglas"	"Adrian"	""	"University of Cambridge"	"370"	""	"neuro,physiology"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1932/adrian-bio.html"	"hayden"	"2005-01-16 01:42:46"
"117"	"Keith"	""	"Lucas"	\N	"University of Cambridge"	"370"	""	"neuro,physiology"	\N	\N	""	"hayden"	"2005-01-16 01:43:22"
"118"	"Roger"	"W"	"Sperry"	""	"California Institute of Technology"	"33"	"Cerebral lateralization"	"neuro"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1981/sperry-autobio.html"	"hayden"	"2005-01-16 10:52:00"
"119"	"Karl"	"Spencer"	"Lashley"	""	"Harvard University"	"86"	"Learning and memory"	"neuro"	""	\N	"http://www.nasonline.org/publications/biographical-memoirs/memoir-pdfs/lashley-karl.pdf"	"hayden"	"2005-01-16 10:53:08"
"120"	"John"	"B"	"Watson"	\N	"Johns Hopkins University"	"117"	"Behaviorism"	"neuro,psych"	\N	\N	"http://alpha.furman.edu/academics/dept/psychology/watson/watson1.htm"	"hayden"	"2005-01-16 10:56:26"
"121"	"Robert"	"Mearns"	"Yerkes"	\N	"Yale University"	"507"	"Primatology"	"neuro,psych,primate"	\N	\N	"http://psychclassics.asu.edu/Yerkes/murchison.htm"	"hayden"	"2005-01-16 10:57:10"
"122"	"James"	"Rowland"	"Angell"	\N	"University of Chicago"	"3797"	""	"neuro"	\N	\N	"http://en.wikipedia.org/wiki/James_Rowland_Angell"	"hayden"	"2005-01-16 11:10:41"
"123"	"Garrett"	"B"	"Stanley"	\N	"Georgia Institute of Technology"	"995"	"systems"	"neuro"	\N	\N	"http://www.stanley.bme.gatech.edu/"	"hayden"	"2005-01-16 11:44:16"
"125"	"William"	""	"James"	\N	"Harvard University"	"86"	"Psychology"	"neuro,psych,hypnosis"	\N	\N	""	"hayden"	"2005-01-16 12:00:57"
"126"	"Louis"	""	"Agassiz"	""	"Harvard University"	"86"	""	"neuro,mareco"	""	""	"http://www.nasonline.org/publications/biographical-memoirs/memoir-pdfs/agassiz-louis.pdf"	"hayden"	"2005-01-16 12:09:44"
"127"	"Michael"	""	"Gazzaniga"	""	"University of California, Santa Barbara"	"659"	"neuropsychology"	"neuro"	""	""	"http://www.psych.ucsb.edu/people/faculty/gazzaniga/index.php"	"hayden"	"2005-01-16 12:15:18"
"128"	"Elisabeth"	"A"	"Murray"	\N	"National Institute of Mental Health"	"214"	"Memory"	"neuro"	\N	\N	"http://neuroscience.nih.gov/Lab.asp?Org_ID=188"	"hayden"	"2005-01-16 12:30:02"
"129"	"Karl"	"H"	"Pribram"	""	"Stanford University"	"277"	"Psychology, frontal lobe"	"neuro,psych"	""	""	"http://www.karlpribram.com/biography/"	"hayden"	"2005-01-16 12:34:19"
"130"	"Paul"	""	"Bucy"	\N	"University of Chicago"	"3797"	"Neurosurgery"	"neuro"	\N	\N	""	"hayden"	"2005-01-16 12:46:17"
"131"	"Heinrich"	""	"Klüver"	""	"University of Chicago"	"3797"	""	"neuro"	""	\N	"http://www.nap.edu/openbook.php?record_id=9650&page=288"	"hayden"	"2005-01-16 12:50:33"
"132"	"Charles"	""	"Anderson"	\N	"Washington University, Saint Louis"	"497"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-16 13:04:44"
"133"	"Wolfgang"	""	"Fries"	\N	""	"1"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-16 13:10:58"
"134"	"Otto"	"D"	"Creutzfeldt"	""	"Kraepelin Institute (Munich)"	"129"	"visual system"	"neuro"	""	\N	"http://essenciale.ru"	"hayden"	"2005-01-16 13:13:22"
"135"	"Bert"	""	"Sakmann"	""	"Max Planck Institute for Medical Research"	"159"	"ion channel physiology"	"neuro,physiology"	"nobel"	\N	"http://www.nobelprize.org/nobel_prizes/medicine/laureates/1991/sakmann-bio.html"	"hayden"	"2005-01-16 13:15:14"
"136"	"Sabine"	""	"Kastner"	\N	"Princeton University"	"238"	""	"neuro"	\N	\N	"http://www.princeton.edu/~napl/"	"hayden"	"2005-01-16 13:20:17"
"137"	"Hans-Christoph"	""	"Nothdurft"	\N	"Max Planck Institute"	"150"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-16 13:22:11"
"138"	"Nikos"	"K"	"Logothetis"	\N	"Max Planck Institute Tuebingen"	"156"	"visual system"	"neuro"	\N	\N	"http://www.kyb.mpg.de/~nikos"	"hayden"	"2005-01-16 17:24:15"
"139"	"John"	"M"	"Allman"	\N	"California Institute of Technology"	"33"	""	"neuro"	\N	\N	"http://www.allmanlab.caltech.edu/"	"hayden"	"2005-01-16 20:45:06"
"140"	"Kenneth"	"O"	"Johnson"	""	"Johns Hopkins University"	"117"	"Somatosensory system"	"neuro"	""	""	"http://pages.jh.edu/~gazette/2005/16may05/16obit.html"	"hayden"	"2005-01-16 20:52:14"
"142"	"Russell"	"L"	"De Valois"	\N	"University of California, Berkeley"	"312"	"Vision"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 00:49:54"
"143"	"James"	""	"Olds"	\N	"California Institute of Technology"	"33"	"Brain self-stimulation"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 00:53:01"
"144"	"Richard"	"Lester"	"Solomon"	\N	"University of Pennsylvania"	"426"	"Psychology"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 00:56:11"
"145"	"Harold"	""	"Schlosberg"	\N	"Brown University"	"30"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 01:09:56"
"147"	"Wilhelm"	""	"Wundt"	""	"University of Leipzig"	"393"	"Experimental psychology, social psychology"	"neuro,psych"	""	\N	"http://www.zv.uni-leipzig.de/service/presse/nachrichten.html?ifab_modus=detail&ifab_uid=2122c699d520140426195022&ifab_id=2805"	"hayden"	"2005-01-17 01:18:44"
"148"	"James"	"McKeen"	"Cattell"	""	"University of Pennsylvania"	"426"	""	"neuro,psych"	""	\N	""	"hayden"	"2005-01-17 01:21:38"
"149"	"Walter"	"F"	"Dearborn"	\N	"Harvard University"	"86"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 01:22:15"
"150"	"Leonard"	""	"Carmichael"	\N	"University of Rochester"	"432"	"Neuroethology, child psychology"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 01:22:48"
"151"	"Johannes"	"Peter"	"Müller"	""	"Friedrich-Wilhelms-Universität zu Berlin"	"358"	"Physiology"	"neuro,physiology"	""	\N	"https://www.hu-berlin.de/ueberblick/geschichte/rektoren/mueller"	"hayden"	"2005-01-17 01:24:46"
"152"	"Karl"	"Asmund"	"Rudolphi"	""	"Friedrich-Wilhelms-Universität zu Berlin"	"358"	"Anatomy"	"neuro"	""	\N	"https://www.hu-berlin.de/ueberblick/geschichte/rektoren/rudolphi"	"hayden"	"2005-01-17 01:26:09"
"153"	"Peter"	"Simon"	"Pallas"	\N	""	"1"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 01:26:55"
"154"	"Harvey"	"A"	"Carr"	\N	"University of Chicago"	"3797"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 10:18:03"
"155"	"John"	"A"	"McGeoch"	\N	"Iowa State University"	"3498"	"Learning & Memory"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 10:19:53"
"156"	"Arthur"	""	"Melton"	\N	"University of Michigan, Ann Arbor"	"405"	"Memory"	"neuro,psych,mich"	\N	\N	"http://books.nap.edu/openbook.php?record_id=2037&page=315"	"hayden"	"2005-01-17 10:20:32"
"157"	"Donald"	"A"	"Riley"	\N	"University of California, Berkeley"	"312"	"Memory"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 10:22:06"
"158"	"John"	"F"	"Dashiell"	\N	"University of North Carolina, Chapel Hill"	"416"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 10:34:04"
"159"	"Francis"	""	"Galton"	\N	"University of Cambridge"	"370"	"Human behavioral genetics"	"neuro"	\N	\N	"http://en.wikipedia.org/wiki/Francis_Galton"	"hayden"	"2005-01-17 10:41:26"
"160"	"Edward"	"Bradford"	"Titchener"	""	"Cornell University"	"56"	"Structuralism"	"neuro,psych"	""	\N	"http://vlp.mpiwg-berlin.mpg.de/people/data?id=per317"	"hayden"	"2005-01-17 10:44:14"
"161"	"Hugo"	""	"Münsterberg"	""	"Harvard University"	"86"	"Psychology"	"neuro,psych"	""	\N	""	"hayden"	"2005-01-17 10:45:03"
"162"	"Oswald"	""	"Külpe"	\N	"University of Wurzburg"	"472"	""	"neuro,psych"	\N	\N	"http://en.wikipedia.org/wiki/Oswald_Külpe"	"hayden"	"2005-01-17 10:45:46"
"163"	"Lightner"	""	"Whitmer"	\N	"University of Pennsylvania"	"426"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 10:46:41"
"164"	"Mary"	""	"Calkins"	\N	"Wellesley College"	"501"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 10:54:55"
"165"	"Edward"	"L"	"Thorndike"	\N	""	"1"	""	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 11:00:09"
"168"	"Haldor"	"Enger"	"Rosvold"	\N	"National Institutes of Health"	"212"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 11:22:29"
"169"	"Patricia"	""	"Goldman-Rakic"	\N	"Yale University"	"507"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 11:24:05"
"170"	"Joshua"	""	"Gold"	\N	"University of Pennsylvania"	"426"	""	"neuro"	\N	\N	""	"hayden"	"2005-01-17 11:52:29"
"171"	"Bernard"	""	"Katz"	""	"University College London"	"346"	"Synaptic Physiology"	"neuro,physiology"	"nobel"	""	"http://nobelprize.org/medicine/laureates/1970/katz-bio.html"	"hayden"	"2005-01-17 12:01:49"
"173"	"Anthony"	"M"	"Zador"	\N	"Cold Spring Harbor Laboratory"	"50"	"Auditory Cortex"	"neuro,csd"	\N	\N	"http://zadorlab.cshl.edu/"	"david"	"2005-01-17 13:22:03"
"174"	"Michael"	"Robert"	"DeWeese"	"Ph.D."	"University of California, Berkeley"	"312"	"Auditory Cortex"	"neuro,physics,csd"	\N	\N	""	"david"	"2005-01-17 13:27:01"
"175"	"Charles"	"F"	"Stevens"	""	"Salk Institute for Biological Studies"	"258"	"Synaptic Transmission"	"neuro"	""	\N	"http://www.salk.edu/faculty/stevens.html"	"david"	"2005-01-17 13:28:36"
"177"	"Michael"	""	"Wehr"	\N	"University of Oregon"	"422"	"Auditory Cortex"	"neuro,csd"	\N	\N	"http://www.neuro.uoregon.edu/wehr/"	"david"	"2005-01-17 13:45:32"
"178"	"Gilles"	""	"Laurent"	""	"Max Planck Institute for Brain Research"	"2433"	"Olfaction"	"neuro"	""	\N	"http://brain.mpg.de/research/laurent-department.html"	"david"	"2005-01-17 13:47:16"
"179"	"Eric"	"I"	"Knudsen"	\N	"Stanford University"	"277"	"Auditory Brainstem"	"neuro,csd"	\N	\N	"http://med.stanford.edu/profiles/Eric_Knudsen/"	"david"	"2005-01-17 16:08:41"
"180"	"Catherine"	"Emily"	"Carr"	"PhD"	"University of Maryland, College Park"	"398"	"Auditory Brainstem"	"neuro,csd"	""	\N	"http://www.glue.umd.edu/~cecarr/"	"david"	"2005-01-17 16:11:18"
"181"	"Daphne"	""	"Soares"	\N	"University of Maryland, College Park"	"398"	"neuroethology"	"neuro"	\N	\N	""	"david"	"2005-01-17 16:12:29"
"182"	"Geoffrey"	""	"Ghose"	\N	"University of Minnesota"	"406"	""	"neuro"	\N	\N	"http://www.ghoselab.cmrr.umn.edu/"	"david"	"2005-01-17 16:29:57"
"183"	"Andrew"	"Fielding"	"Huxley"	""	"University College London"	"346"	""	"neuro,physiology"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1963/huxley-bio.html"	"willmore"	"2005-01-17 16:30:36"
"185"	"Alan"	"Lloyd"	"Hodgkin"	""	"University of Cambridge"	"370"	"Biophysics"	"neuro,chemistry,physiology"	"nobel"	\N	"http://nobelprize.org/medicine/laureates/1963/hodgkin-bio.html"	"willmore"	"2005-01-17 16:38:37"
"188"	"Philip"	""	"Bard"	\N	"Johns Hopkins University"	"117"	""	"neuro"	\N	\N	"http://www.the-aps.org/about/pres/intropb.htm"	"hayden"	"2005-01-17 16:42:06"
"189"	"Walter"	"Bradford"	"Cannon"	""	"Harvard Medical School"	"84"	"Physiology"	"neuro,chemistry,physiology"	""	""	"http://www.harvardsquarelibrary.org/biographies/walter-bradford-cannon-2/"	"hayden"	"2005-01-17 16:44:07"
"190"	"Ian"	"D"	"Thompson"	\N	"University of Oxford"	"228"	"Visual development"	"neuro"	\N	\N	""	"willmore"	"2005-01-17 16:44:20"
"191"	"John"	"G"	"Robson"	\N	"University of Cambridge"	"370"	"Early vision"	"neuro"	\N	\N	""	"willmore"	"2005-01-17 16:46:56"
"192"	"Christian"	"K"	"Machens"	""	"École Normale Supérieure, Paris"	"19551"	"Computation & Theory"	"neuro"	""	""	"http://iec-lnc.ens.fr/group-for-neural-theory/"	"david"	"2005-01-17 16:46:58"
"193"	"Fergus"	"W"	"Campbell"	\N	"University of Cambridge"	"370"	"Visual psychophysics"	"neuro,psych"	\N	\N	""	"willmore"	"2005-01-17 16:47:50"
"194"	"Andreas"	"V"	"Herz"	""	"Institute for Theoretical Biology"	"2"	"Audition"	"neuro,csd"	""	""	"http://itb1.biologie.hu-berlin.de/~herz/"	"david"	"2005-01-17 16:48:19"
"195"	"Henry"	"Pickering"	"Bowditch"	""	"Harvard Medical School"	"84"	"Physiology"	"neuro,physiology"	""	""	"http://vlp.mpiwg-berlin.mpg.de/people/data?id=per171"	"hayden"	"2005-01-17 16:48:34"
"196"	"Claude"	""	"Bernard"	""	"Collège de France et l'Hôpital Hôtel-Dieu de Paris"	"5715"	"Physiology"	"neuro,physiology"	""	""	""	"hayden"	"2005-01-17 16:51:59"
"197"	"François "	""	"Magendie"	\N	"Collège de France, Paris"	"5700"	"Physiology"	"neuro"	\N	\N	""	"hayden"	"2005-01-17 16:52:18"
"198"	"Darragh"	"M"	"Smyth"	\N	"University of Oxford"	"228"	"V1"	"neuro"	\N	\N	""	"willmore"	"2005-01-17 16:52:59"
"199"	"Matthew"	"S"	"Caywood"	\N	"University of California, San Francisco"	"318"	"Visual cortex"	"neuro"	\N	\N	""	"willmore"	"2005-01-17 16:54:40"
"200"	"Robert"	"E."	"Connick"	""	"University of California, Berkeley"	"312"	"physical inorganic chemistry"	"chemistry"	""	\N	"http://chem.berkeley.edu/faculty/emeriti/connick.php"	"hayden"	"2005-01-17 16:54:46"
"201"	"William"	"AH"	"Rushton"	\N	"University of Cambridge"	"370"	"Retina"	"neuro,physiology"	\N	\N	""	"willmore"	"2005-01-17 16:58:39"
"202"	"Gerald"	""	"Westheimer"	\N	"University of California, Berkeley"	"312"	"Visual psychophysics"	"neuro,psych"	\N	\N	""	"willmore"	"2005-01-17 16:59:39"
"203"	"Derek"	"Ernst"	"Denny-Brown"	"DPhil, Oxford University"	"Boston City Hospital and Harvard Medical School"	"5929"	"Neurology"	"neuro,physiology"	\N	\N	"http://www.whonamedit.com/doctor.cfm/1131.html"	"hayden"	"2005-01-17 17:02:11"
"204"	"John"	"Farquhar"	"Fulton"	""	"Yale University"	"507"	"Physiology"	"neuro"	""	\N	"http://historical.medicine.yale.edu/us/founders/fulton"	"hayden"	"2005-01-17 17:03:04"
"205"	"Colin"	""	"Blakemore"	""	"University of Oxford"	"228"	"Visual development"	"neuro,physiology"	\N	\N	""	"willmore"	"2005-01-17 17:05:13"
"206"	"Harvey"	"Williams"	"Cushing"	""	"Yale University"	"507"	"Neurosurgery"	"neuro"	\N	\N	"http://www.med.yale.edu/library/historical/cushing/career.html"	"hayden"	"2005-01-17 17:06:29"
"207"	"Nicole"	"C"	"Rust"	\N	"University of Pennsylvania"	"426"	"Visual Cortex"	"neuro"	\N	\N	"http://www.mit.edu/~rust/"	"david"	"2005-01-17 17:08:37"
"208"	"Eero"	"P"	"Simoncelli"	\N	"New York University"	"221"	"Computation & Theory"	"neuro"	\N	\N	"http://www.cns.nyu.edu/~eero/"	"david"	"2005-01-17 17:10:18"
"209"	"Edward"	"Chace"	"Tolman"	\N	"University of California, Berkeley"	"312"	"Memory"	"neuro,psych"	\N	\N	""	"hayden"	"2005-01-17 17:10:40"
"210"	"Edward"	"H"	"Adelson"	\N	"Massachusetts Institute of Technology"	"172"	"Computation & Theory, visual system"	"neuro"	\N	\N	"http://web.mit.edu/persci/people/adelson/index.html"	"david"	"2005-01-17 17:15:10"
"212"	"David"	"J"	"Heeger"	\N	"New York University"	"221"	"Vision"	"neuro"	\N	\N	"http://www.cns.nyu.edu/~david/"	"david"	"2005-01-17 17:17:29"
"213"	"Justin"	"L"	"Gardner"	"PhD"	"Stanford University"	"277"	"MRI vision attention decision motion inference selection"	"neuro"	""	\N	"http://gru.brain.riken.jp"	"david"	"2005-01-17 17:21:10"
"214"	"Keiji"	""	"Tanaka"	\N	"RIKEN Brain Science Institute"	"247"	"Visual Cortex"	"neuro"	\N	\N	"http://www.brain.riken.jp/english/b_rear/b1_lob/k_tanaka.html"	"david"	"2005-01-17 17:23:47"
"215"	"Mark"	"M"	"Churchland"	\N	"Stanford University"	"277"	"Motor Cortex"	"neuro"	\N	\N	""	"david"	"2005-01-17 17:26:29"
"216"	"Krishna"	"V"	"Shenoy"	"Ph.D."	"Stanford University"	"277"	"Motor control / prostheses"	"neuro,physics"	""	\N	"http://www.stanford.edu/~shenoy/"	"david"	"2005-01-17 17:28:04"
"217"	"Jennifer"	"L"	"Raymond"	\N	"Stanford University"	"277"	"Motor Brainstem"	"neuro"	\N	\N	""	"david"	"2005-01-17 17:30:29"
"218"	"A"	"Peter"	"Willmore"	\N	"Birmingham University"	"24"	"Astrophysics"	"neuro,physics"	\N	\N	""	"willmore"	"2005-01-17 17:37:14"
"219"	"Sascha"	""	"du Lac"	\N	"Salk Institute for Biological Studies"	"258"	"Oculomotor"	"neuro"	\N	\N	"http://www.snl-d.salk.edu/"	"david"	"2005-01-17 17:58:38"
"220"	"Valerie"	"J"	"Uzzell"	\N	"University of California, San Diego"	"317"	"Retina"	"neuro"	\N	\N	"http://www.snl-e.salk.edu/people/valerie/"	"david"	"2005-01-17 18:00:44"
"221"	"Denis"	""	"Le Bihan"	\N	""	"1"	"Diffusion MRI"	"neuro"	\N	\N	"http://www.meteoreservice.com/dlb"	"david"	"2005-01-17 18:02:02"
"222"	"Anne"	"K"	"Churchland"	""	"Cold Spring Harbor Laboratory"	"50"	"Decision"	"neuro"	""	\N	""	"hayden"	"2005-01-17 18:07:45"
"223"	"Carl"	"Friedrich Wilhelm"	"Ludwig"	""	"Universität Leipzig"	"7370"	"Physiology, comparative anatomy"	"neuro,chemistry,anatomy,physiology"	""	""	"http://www.sciencedirect.com/science?_ob=ArticleURL&_udi=B6WK6-45M8YMG-1G&_user=961305&_rdoc=1&_fmt=&_orig=search&_sort=d&view=c&_acct=C000049425&_version=1&_urlVersion=0&_userid=961305&md5=8146271b964f786a29aa1d9339e6a67d"	"hayden"	"2005-01-17 19:45:40"
"224"	"Leonardo"	""	"Chelazzi"	\N	"University of Verona"	"460"	"Attention"	"neuro"	\N	\N	"http://dsnv.univr.it/Fisiologia/Personale/LChelazzi/"	"hayden"	"2005-01-17 20:14:58"
"225"	"Giovanni"	""	"Berlucchi"	\N	"University of Verona"	"460"	""	"neuro"	\N	\N	"http://www.medicina.univr.it/fol/main?ent=persona&id=1052"	"hayden"	"2005-01-17 20:18:40"
"227"	"Melvin"	"E"	"Haggerty"	""	"University of Minnesota"	"406"	"Education"	"neuro"	""	""	"http://special.lib.umn.edu/findaid/xml/uarc00262.xml"	"hayden"	"2005-01-17 20:41:17"
"228"	"Harry"	"F"	"Harlow"	""	"University of Wisconsin, Madison"	"1048"	"Primatology"	"neuro,primate"	""	\N	"http://www.nap.edu/openbook.php?record_id=1645&page=218"	"hayden"	"2005-01-17 20:48:54"
